age;pAD;pID;pAI;pAA
20;0.000461600217312132;0.0108336431456553;0.000176246694342926;0.999362153088345
21;0.000482488764261525;0.0107971909886194;0.000171057735612955;0.999346453500126
22;0.000494993811957668;0.0117707568980395;0.00015923328063064;0.999345772907412
23;0.00050429345591411;0.0115939415352431;0.00016057305104192;0.999335133493044
24;0.000507419256318309;0.0126057434590121;0.000160650439141657;0.99933193030454
25;0.000515426695613004;0.0152636383159172;0.000164360322575267;0.999320212981812
26;0.000525595649643117;0.0179897694669832;0.000161660453870113;0.999312743896487
27;0.000534823584740014;0.0166832171238458;0.000160135991146609;0.999305040424113
28;0.000537542563101855;0.0170682636815637;0.000159910891995352;0.999302546544903
29;0.00054010571047368;0.0189681430662499;0.000154068989936519;0.99930582529959
30;0.000540223049860296;0.0211937258794527;0.000157160647241465;0.999302616302898
31;0.000543650098790082;0.0273283049097408;0.000166920507275799;0.999289429393934
32;0.000550657084106076;0.0297242338721561;0.000176149326345398;0.999273193589549
33;0.000567666524533948;0.0312031127015988;0.000174959290838917;0.999257374184627
34;0.000589564479997331;0.0362614421255913;0.000181142949631881;0.999229292570371
35;0.00061806212917393;0.0400308116670889;0.000191872923626047;0.9991900649472
36;0.000650632511832817;0.0418389766775716;0.000199643253754878;0.999149724234412
37;0.000689474293782214;0.0467358834902955;0.000211977632924897;0.999098548073293
38;0.000731138219342785;0.0523964586730976;0.000221795302027688;0.99904706647863
39;0.000793533578699302;0.055177966832089;0.000240416543812767;0.998966049877488
40;0.000859207185781173;0.0585124067163057;0.000264674910015306;0.998876117904203
41;0.000920725621476301;0.0679656015534935;0.000282355739283444;0.99879691863924
42;0.000984991230447042;0.0757310812483226;0.000314702144743578;0.998700306624809
43;0.00105939521363715;0.0811703192912012;0.000349094911367465;0.998591509874995
44;0.00115292666392253;0.086792620615223;0.000376750745815673;0.998470322590262
45;0.00124967505305504;0.0951282991008114;0.000410031980278301;0.998340292966667
46;0.00134617679388282;0.104306046855522;0.000454381385459602;0.998199441820658
47;0.00147744439982092;0.108863822493192;0.000510090216360853;0.998012465383818
48;0.00160678108915558;0.115727419192654;0.000572265035829771;0.997820953875015
49;0.00175231797005106;0.122620733316479;0.000653974571998273;0.997593707457951
50;0.00192647416205334;0.128264864604654;0.000724389338373027;0.997349136499574
51;0.00211873152640448;0.132487558117908;0.00080347791835564;0.99707779055524
52;0.00231715656887456;0.140903426576919;0.000897377523639647;0.996785465907486
53;0.00257005954245349;0.148308971347905;0.000988973589213584;0.996440966868333
54;0.00282270426395954;0.152694601283312;0.00110175953341175;0.996075536202629
55;0.00308892793456527;0.156014449299285;0.00121842271667517;0.99569264934876
56;0.00334491994186366;0.160354906530207;0.00135221310972041;0.995302866948416
57;0.0036680988581455;0.163584432824716;0.0015021237857599;0.994829777356095
58;0.00404383426827132;0.166621852151551;0.00164389926056965;0.994312266471159
59;0.00446410949795472;0.172995362892957;0.00181867939206979;0.993717211109975
60;0.00491071415431949;0.175114162729557;0.00203795753783481;0.993051328307846
61;0.00541897972205418;0.176836610548664;0.00223079594105024;0.992350224336896
62;0.0058872972394518;0.179065380547063;0.00243327615598675;0.991679426604561
63;0.00635426205223726;0.18328905395475;0.00268594485354049;0.990959793094222
64;0.00684249456592532;0.186309865207791;0.00299675785270434;0.99016074758137
65;0.00745741108087491;0.18514690618557;0.0034276558099294;0.989114933109196
66;0.00813029947746983;0.186388327973927;0.00401498471329922;0.987854715809231
67;0.00894480989820999;0.189665426363304;0.00467257950797381;0.986382610593816
68;0.0097208540778663;0.190052370707222;0.00533807252107788;0.984941073401056
69;0.0106145155277237;0.188697039510498;0.0060901494087728;0.983295335063503
70;0.0115815669321884;0.190655935136829;0.00698624429053202;0.98143218877728
71;0.0126738410165432;0.193198718680596;0.0080193455961521;0.979306813387305
72;0.0137706103972485;0.194509663180914;0.00912917559527522;0.977100214007476
73;0.0151133228338427;0.197263891809617;0.0104517574376933;0.974434919728464
74;0.0167023100407502;0.19981346841012;0.011975363077487;0.971322326881763
75;0.0185015234683037;0.202602461969921;0.0136406055721243;0.967857870959572
76;0.020543474835099;0.20567144487397;0.0155521514540999;0.963904373710801
77;0.0226990867632567;0.209583024789031;0.0176773816301192;0.959623531606624
78;0.025242012724978;0.216536798215654;0.0199840051708029;0.954773982104219
79;0.0280714682899232;0.222812914664102;0.0225820740028015;0.949346457707275
